round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
1,1,16,15,15,0,5,10,10,0,0,0,0,0,15,15,56,0,0,10,0,3,1,1,0,0,4,0,4,40,1,0,1,0,1
2,1,20,19,19,0,5,14,14,0,0,0,0,0,19,19,168,0,0,50,0,3,3,3,0,0,5,0,1,10,1,0,3,0,1
3,0,19,19,19,0,5,14,14,0,0,0,0,0,19,19,280,0,0,50,0,3,5,5,0,0,7,0,2,20,1,0,5,0,1
4,4,27,23,23,0,5,18,18,0,0,0,0,0,23,23,392,0,0,70,0,3,7,7,0,0,7,0,0,0,1,0,7,0,1
5,6,29,23,23,0,5,18,18,0,0,0,0,0,23,23,560,0,0,110,0,3,10,10,0,0,8,0,1,10,1,0,10,0,1
6,4,36,32,32,0,5,27,27,0,0,0,0,0,32,32,728,0,0,110,0,3,13,13,0,0,10,0,2,20,1,0,13,0,1
7,6,40,34,34,0,7,27,27,0,0,0,0,0,34,34,987,0,0,260,0,3,16,16,0,0,10,0,0,0,2,0,16,0,1
8,7,38,34,34,0,7,27,27,0,0,3,3,0,31,31,1148,0,0,160,0,3,19,18,0,1,12,1,2,22,2,0,19,0,1
9,7,41,34,34,0,7,27,27,0,0,0,3,3,34,31,1211,0,0,400,0,3,22,21,0,1,13,1,1,10,2,0,22,0,1
10,4,31,27,36,9,9,18,27,0,0,0,6,6,27,30,2107,0,0,1650,1,2,26,20,1,3,15,7,2,22,3,0,26,0,1
11,11,41,36,36,0,9,27,27,0,0,6,6,0,30,30,1099,0,0,264,0,2,7,9,0,2,17,2,2,20,3,0,7,1,1
12,6,33,36,36,0,9,27,27,0,0,9,9,0,27,27,1631,0,0,320,0,2,9,15,0,2,18,2,1,35,3,0,9,1,1
13,8,43,38,38,0,11,27,27,0,0,3,9,6,35,29,2399,0,0,876,0,2,12,21,0,3,19,5,1,10,4,0,12,1,1
14,2,24,29,38,9,11,18,27,0,0,7,10,3,22,28,3300,0,0,828,0,2,14,27,0,3,21,4,2,22,4,0,14,1,1
15,4,38,38,38,0,11,27,27,0,0,4,10,6,34,28,5547,0,0,11696,0,2,18,37,0,1,22,10,1,10,4,0,18,1,1
16,3,22,29,38,9,11,18,27,0,0,10,13,3,19,25,5985,0,0,8976,0,2,20,42,0,2,23,10,1,35,4,0,20,1,1
17,2,29,31,40,9,13,18,27,0,0,4,13,9,27,27,5393,0,0,8444,1,1,24,36,1,3,23,12,0,0,5,0,24,1,1
