round,love_start,love_end,income_actual,income_potential,income_lost_to_damage,base_income,building_income_actual,building_income_potential,painter_income,story_income,upkeep_actual,upkeep_potential,upkeep_unpaid_from_deaths,net_actual,net_potential,dmg_dealt,dmg_dealt_lightning,lightning_hits,dmg_taken_buildings,lives_lost,lives_end,enemies_spawned,kills,leaks,kidnaps,buildings_built,buildings_dead_at_payday,buildings_placed,love_spent_buildings,village_level,player_xp,wave_size,enemy_tier,cheated
0,15,20,5,10,5,5,0,5,0,0,0,0,0,5,10,0,0,0,120,0,3,1,0,0,1,1,1,1,10,1,0,1,0,0
1,10,20,10,10,0,5,5,5,0,0,0,0,0,10,10,56,0,0,10,0,3,1,1,0,0,2,0,1,10,1,0,1,0,0
2,5,19,14,14,0,5,9,9,0,0,0,0,0,14,14,168,0,0,50,0,3,3,3,0,0,3,0,1,10,1,0,3,0,0
3,19,24,5,14,9,5,0,9,0,0,0,0,0,5,14,252,0,0,140,0,3,5,4,0,1,3,1,0,0,1,0,5,0,0
4,7,21,14,19,5,5,9,14,0,0,0,0,0,14,19,336,0,0,270,0,3,7,6,0,1,4,1,1,10,1,0,7,0,0
5,1,20,19,19,0,5,14,14,0,0,0,0,0,19,19,588,0,0,120,0,3,10,10,0,0,5,0,1,10,1,0,10,0,0
6,5,28,23,23,0,5,18,18,0,0,0,0,0,23,23,812,0,0,230,0,3,13,13,0,0,6,0,1,10,1,0,13,0,0
7,1,17,16,30,14,7,9,23,0,0,0,0,0,16,30,812,0,0,430,0,3,16,13,0,3,8,3,2,20,2,0,16,0,0
8,7,37,30,30,0,7,23,23,0,0,0,0,0,30,30,1043,0,0,490,0,3,19,17,0,2,9,2,1,10,2,0,19,0,0
9,2,22,21,30,9,7,14,23,0,0,1,1,0,20,29,1211,48,4,500,0,3,22,20,0,2,10,2,1,25,2,0,22,0,0
10,1,10,9,32,23,9,0,23,0,0,0,1,1,9,31,1715,72,6,1820,1,2,26,21,1,3,11,11,1,10,3,0,26,0,0
11,0,22,23,32,9,9,14,23,0,0,1,1,0,22,31,917,48,4,268,0,2,7,9,0,2,11,2,0,0,3,0,7,1,0
12,1,23,23,32,9,9,14,23,0,0,1,1,0,22,31,1512,84,7,352,0,2,9,15,0,2,12,2,1,10,3,0,9,1,0
13,1,22,25,34,9,11,14,23,0,0,4,4,0,21,30,1948,96,8,588,1,1,12,17,1,3,14,4,2,22,4,0,12,1,0
